Nombre,Tipo de dato,Default Task,Atributos,Instancias,Numero de atributos
Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series ","Classification, Clustering ", , ,3 
Wilt,Multivariate ,Classification , ,4889 ,6 
User Identification From Walking Activity,"Univariate, Sequential, Time-Series ","Classification, Clustering ",Real , , 
Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series ","Classification, Clustering ",Real , , 
Leaf,Multivariate ,Classification ,Real ,340 ,16 
Dresses_Attribute_Sales,Text ,"Classification, Clustering ", ,501 ,13 
Tamilnadu Electricity Board Hourly Readings,Multivariate ,"Classification, Regression, Clustering ",Real ,45781 ,5 
Airfoil Self-Noise,Multivariate ,Regression ,Real ,1503 ,6 
Wholesale customers,Multivariate ,"Classification, Clustering ",Integer ,440 ,8 
Twitter Data set for Arabic Sentiment Analysis,Text ,Classification , ,2000 ,2 
Combined Cycle Power Plant,Multivariate ,Regression ,Real ,9568 ,4 
Urban Land Cover,Multivariate ,Classification , ,168 ,148 
Diabetes 130-US hospitals for years 1999-2008,Multivariate ,"Classification, Clustering ",Integer ,100000 ,55 
Bach Choral Harmony,Sequential ,Classification , ,5665 ,17 
StoneFlakes,Multivariate ,"Classification, Clustering, Causal-Discovery ",Real ,79 ,8 
Tennis Major Tournament Match Statistics,Multivariate ,"Classification, Regression, Clustering ","Integer, Real ",127 ,42 
Parkinson Speech Dataset with  Multiple Types of Sound Recordings,Multivariate ,"Classification, Regression ","Integer, Real ",1040 ,26 
Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series ","Classification, Clustering ",Real ,9900 ,50 
Perfume Data,"Univariate, Domain-Theory ","Classification, Clustering ",Integer ,560 ,2 
BlogFeedback,Multivariate ,Regression ,"Integer, Real ",60021 ,281 
REALDISP Activity Recognition Dataset,"Multivariate, Time-Series ",Classification ,Real ,1419 ,120 
Newspaper and magazine images segmentation dataset, ,Classification , ,101 , 
AAAI 2014 Accepted Papers,Multivariate ,Clustering , ,399 ,6 
Gas sensor array under flow modulation,"Multivariate, Time-Series ","Classification, Regression ",Real ,58 ,120432 
Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series ","Classification, Regression ",Real ,180 ,150000 
UJIIndoorLoc,Multivariate ,"Classification, Regression ","Integer, Real ",21048 ,529 
Sentence Classification,Text ,Classification ,Integer , , 
Dow Jones Index,Time-Series ,"Classification, Clustering ","Integer, Real ",750 ,16 
sEMG for Basic Hand movements,Time-Series ,Classification ,Real ,3000 ,2500 
AAAI 2013 Accepted Papers,Multivariate ,Clustering , ,150 ,5 
Geographical Original of Music,Multivariate ,"Classification, Regression ",Real ,1059 ,68 
Condition Based Maintenance of Naval Propulsion Plants,Multivariate ,Regression ,Real ,11934 ,16 
Grammatical Facial Expressions,"Multivariate, Sequential ","Classification, Clustering ",Real ,27965 ,100 
NoisyOffice,Multivariate ,"Classification, Regression ",Real ,216 ,216 
MHEALTH Dataset,"Multivariate, Time-Series ",Classification ,Real ,120 ,23 
Student Performance,Multivariate ,"Classification, Regression ",Integer ,649 ,33 
ElectricityLoadDiagrams20112014,Time-Series ,"Regression, Clustering ",Real ,370 ,140256 
Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series ","Classification, Regression ",Real ,4178504 ,19 
microblogPCU,"Multivariate, Univariate, Sequential, Text ","Classification, Causal-Discovery ","Integer, Real ",221579 ,20 
Firm-Teacher_Clave-Direction_Classification,Multivariate ,Classification , ,10800 ,20 
Dataset for Sensorless Drive Diagnosis,Multivariate ,Classification ,Real ,58509 ,49 
TV News Channel Commercial Detection Dataset,Multivariate ,"Classification, Clustering ",Real ,129685 ,12 
Phishing Websites, ,Classification ,Integer ,2456 ,30 
Greenhouse Gas Observing Network,"Multivariate, Time-Series ",Regression ,Real ,2921 ,5232 
Diabetic Retinopathy Debrecen Data Set,Multivariate ,Classification ,"Integer, Real ",1151 ,20 
HIV-1 protease cleavage,Multivariate ,Classification ,Categorical ,6590 ,1 
Sentiment Labelled Sentences,Text ,Classification , ,3000 , 
Online News Popularity,Multivariate ,"Classification, Regression ","Integer, Real ",39797 ,61 
Forest type mapping,Multivariate ,Classification , ,326 ,27 
wiki4HE,Multivariate ,"Regression, Clustering, Causal-Discovery ", ,913 ,53 
Online Video Characteristics and Transcoding Time Dataset,Multivariate ,Regression ,"Integer, Real ",168286 ,11 
Chronic_Kidney_Disease,Multivariate ,Classification ,Real ,400 ,25 
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series ",Classification ,Real ,314080 ,0 
Folio,Multivariate ,"Classification, Clustering ", ,637 ,20 
"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory ","Clustering, Causal-Discovery ",Real ,1710671 ,9 
Cuff-Less Blood Pressure Estimation,Multivariate ,"Classification, Regression ",Real ,12000 ,3 
Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series ",Classification ,Real ,10929 ,561 
Mice Protein Expression,Multivariate ,"Classification, Clustering ",Real ,1080 ,82 
UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ","Integer, Real ",40000 ,13 
Heterogeneity Activity Recognition,"Multivariate, Time-Series ","Classification, Clustering ",Real ,43930257 ,16 
Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Integer ,230318 ,13 
HEPMASS,Multivariate ,Classification ,Real ,10500000 ,28 
Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series ",Classification ,Real ,13197 ,4 
Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Integer , , 
default of credit card clients,Multivariate ,Classification ,"Integer, Real ",30000 ,24 
Mesothelioma’s disease data set ,Multivariate ,Classification ,Real ,324 ,34 
Online Retail,"Multivariate, Sequential, Time-Series ","Classification, Clustering ","Integer, Real ",541909 ,8 
SIFT10M,Multivariate ,Causal-Discovery ,Integer ,11164866 ,128 
GPS Trajectories,Multivariate ,"Classification, Regression ",Real ,163 ,15 
Detect Malacious Executable(AntiVirus),Multivariate ,Classification ,Real ,373 ,513 
Occupancy Detection ,"Multivariate, Time-Series ",Classification ,Real ,20560 ,7 
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease,Multivariate ,"Classification, Regression, Clustering ",Real ,40 ,7 
News Aggregator,Multivariate ,"Classification, Clustering ", ,422937 ,5 
Air Quality,"Multivariate, Time-Series ",Regression ,Real ,9358 ,15 
Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory ","Classification, Regression ",Real ,640 ,480000 
Gas sensors for home activity monitoring,"Multivariate, Time-Series ",Classification ,Real ,919438 ,11 
Facebook Comment Volume Dataset,Multivariate ,Regression ,"Integer, Real ",40949 ,54 
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series ,Classification ,Real ,5744 ,561 
Polish companies bankruptcy data,Multivariate ,Classification ,Real ,10503 ,64 
Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series ",Classification ,Real ,42240 ,6 
Dota2 Games Results,Multivariate ,Classification , ,102944 ,116 
Facebook metrics,Multivariate ,Regression ,Integer ,500 ,19 
UbiqLog (smartphone lifelogging),Multivariate ,Causal-Discovery , ,9782222 , 
NIPS Conference Papers 1987-2015,Text ,Clustering ,Integer ,11463 ,5812 
HTRU2,Multivariate ,"Classification, Clustering ",Real ,17898 ,9 
Drug consumption (quantified),Multivariate ,Classification ,Real ,1885 ,32 
Appliances energy prediction,"Multivariate, Time-Series ",Regression ,Real ,19735 ,29 
Miskolc IIS Hybrid IPS,Text ,"Classification, Clustering, Causal-Discovery ",Integer ,1540 ,67 
KDC-4007 dataset Collection,"Multivariate, Text ","Classification, Regression ",Integer ,4007 , 
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ","Integer, Real ",153540 ,25 
DrivFace,Multivariate ,"Classification, Regression, Clustering ",Real ,606 ,6400 
Website Phishing,Multivariate ,Classification ,Integer ,1353 ,10 
YouTube Spam Collection,Text ,Classification , ,1956 ,5 
Beijing PM2.5 Data,"Multivariate, Time-Series ",Regression ,"Integer, Real ",43824 ,13 
Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential ","Classification, Regression ",Integer ,3942 ,98 
Cervical cancer (Risk Factors),Multivariate ,Classification ,"Integer, Real ",858 ,36 
Quality Assessment of Digital Colposcopies,Multivariate ,Classification ,Real ,287 ,69 
KASANDR,Multivariate ,Causal-Discovery ,Integer ,17764280 ,2158859 
FMA: A Dataset For Music Analysis,"Multivariate, Time-Series ","Classification, Clustering ",Real ,106574 ,518 
Air quality,"Multivariate, Time-Series ",Regression ,Real ,9358 ,15 
Epileptic Seizure Recognition,"Multivariate, Time-Series ","Classification, Clustering ","Integer, Real ",11500 ,179 
Devanagari Handwritten Character Dataset, ,Classification ,Integer ,92000 , 
Stock portfolio performance,Multivariate ,Regression ,Real ,315 ,12 
MoCap Hand Postures,Multivariate ,"Classification, Clustering ","Integer, Real ",78095 ,38 
Early biomarkers of Parkinson�s disease based on natural connected speech,Multivariate ,"Classification, Regression ","Integer, Real ",130 ,65 
Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series ",Classification ,"Integer, Real ",74 ,102 
PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series ",Regression ,"Integer, Real ",52854 ,86 
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate ,"Classification, Regression, Clustering ",Integer ,77 ,7 
Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series ",Clustering ,"Integer, Real ",811 ,53 
Las Vegas Strip, ,"Classification, Regression ",Integer ,504 ,20 
Eco-hotel,Text , , ,401 ,1 
MEU-Mobile KSD,Multivariate ,Classification ,"Integer, Real ",2856 ,71 
Crowdsourced Mapping,Multivariate ,Classification , ,10546 ,29 
gene expression cancer RNA-Seq,Multivariate ,"Classification, Clustering ",Real ,801 ,20531 
"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series ",Classification ,Real ,1540 ,65 
chestnut – LARVIC, ,"Classification, Clustering ", ,1451 ,3 
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text ,Classification ,Integer ,1075 ,22 
Motion Capture Hand Postures,Multivariate ,"Classification, Clustering ",Real ,78095 ,38 
Anuran Calls (MFCCs),Multivariate ,"Classification, Clustering ",Real ,7195 ,22 
TTC-3600: Benchmark dataset for Turkish text categorization,Text ,"Classification, Clustering ",Integer ,3600 ,4814 
Gastrointestinal Lesions in Regular Colonoscopy,Multivariate ,Classification ,Real ,76 ,698 
Daily Demand Forecasting Orders,Time-Series ,Regression ,Integer ,60 ,13 
Paper Reviews,Text ,"Classification, Regression ",Integer ,405 ,10 
extention of Z-Alizadeh sani dataset, ,Classification ,"Integer, Real ",303 ,59 
Z-Alizadeh Sani, ,Classification ,"Integer, Real ",303 ,56 
Dynamic Features of VirusShare Executables,"Multivariate, Time-Series ","Classification, Regression ",Integer ,107888 ,482 
IDA2016Challenge,Multivariate ,Classification ,Integer ,76000 ,171 
DSRC Vehicle Communications,"Sequential, Text ",Clustering ,Real ,10000 ,5 
Mturk User-Perceived Clusters over Images,"Multivariate, Text ",Clustering ,Integer ,180 ,500 
Character Font Images,Multivariate ,Classification ,"Integer, Real ",745000 ,411 
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text ,Classification ,Integer ,12234 ,8519 
Autistic Spectrum Disorder Screening Data for Children  ,Multivariate ,Classification ,Integer ,292 ,21 
Autistic Spectrum Disorder Screening Data for Adolescent   ,Multivariate ,Classification ,Integer ,104 ,21 
APS Failure at Scania Trucks,Multivariate ,Classification ,"Integer, Real ",60000 ,171 
Wireless Indoor Localization,Multivariate ,Classification ,Real ,2000 ,7 
HCC Survival,Multivariate ,Classification ,"Integer, Real ",165 ,49 
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate ,"Classification, Regression ",Integer ,217 ,12 
University of Tehran Question Dataset 2016 (UTQD.2016),Text ,Classification , ,1175 ,3 
Autism Screening Adult, ,Classification ,Integer ,704 ,21 
Activity recognition with healthy older people using a batteryless wearable sensor,Sequential ,Classification ,Real ,75128 ,9 
Immunotherapy Dataset,Univariate ,Classification ,"Integer, Real ",90 ,8 
Cryotherapy Dataset ,Univariate ,Classification ,"Integer, Real ",90 ,7 
OCT data & Color Fundus Images of Left & Right Eyes,Multivariate ,Classification ,Real ,50 ,2 
Discrete Tone Image Dataset,Multivariate ,Classification , ,71 ,11 
News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text ",Regression ,"Integer, Real ",93239 ,11 
Ultrasonic flowmeter diagnostics,Multivariate ,Classification ,Real ,540 ,173 
ICMLA 2014 Accepted Papers Data Set,Multivariate ,"Classification, Clustering ", ,105 ,5 
BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series ","Classification, Clustering ",Integer ,6611 ,15 
Container Crane Controller Data Set,"Univariate, Domain-Theory ","Classification, Regression ",Real ,15 ,3 
Residential Building Data Set,Multivariate ,Regression ,Real ,372 ,105 
Health News in Twitter,Text ,Clustering ,Real ,58000 ,25000 
chipseq,Sequential ,Classification ,Integer ,4960 , 
SGEMM GPU kernel performance,Multivariate ,Regression ,Integer ,241600 ,18 
Repeat Consumption Matrices,Multivariate ,Clustering ,Real ,130000 ,21000 
detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential ","Classification, Clustering ",Real ,7062606 ,115 
Absenteeism at work,"Multivariate, Time-Series ","Classification, Clustering ","Integer, Real ",740 ,21 
SCADI,Multivariate ,"Classification, Clustering ", ,70 ,206 
Condition monitoring of hydraulic systems,"Multivariate, Time-Series ","Classification, Regression ",Real ,2205 ,43680 
Carbon Nanotubes,Univariate ,Regression ,Real ,10721 ,8 
Optical Interconnection Network ,Multivariate ,"Classification, Regression ","Integer, Real ",640 ,10 
Sports articles for objectivity analysis,"Multivariate, Text ",Classification ,Integer ,1000 ,59 
Breast Cancer Coimbra,Multivariate ,Classification ,Integer ,116 ,10 
GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series ",Regression ,Real ,1672 ,5 
Dishonest Internet users Dataset,Multivariate ,"Classification, Clustering ", ,322 ,5 
Victorian Era Authorship Attribution,Text ,Classification , ,93600 ,1000 
Simulated Falls and Daily Living Activities Data Set,Time-Series ,Classification ,Integer ,3060 ,138 
Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text ",Classification ,Integer ,5879 , 
EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series ","Classification, Regression ",Integer ,9200 ,16 
Roman Urdu Data Set,Text ,Classification , ,20000 ,2 
Avila,Multivariate ,Classification ,Real ,20867 ,10 
PANDOR,Multivariate ,Recommendation ,Categorical , , 
Drug Review Dataset (Druglib.com),"Multivariate, Text ","Classification, Regression, Clustering ",Integer ,4143 ,8 
Drug Review Dataset (Drugs.com),"Multivariate, Text ","Classification, Regression, Clustering ",Integer ,215063 ,6 
Physical Unclonable Functions,Multivariate ,Classification ,Integer ,6000000 ,129 
Superconductivty Data,Multivariate ,Regression ,Real ,21263 ,81 
WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series ","Classification, Regression ",Real ,63000000 ,12 
GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series ",Regression ,Real ,10190 ,6 
Student Academics Performance,Multivariate ,Classification , ,300 ,22 
Online Shoppers Purchasing Intention Dataset,Multivariate ,"Classification, Clustering ","Integer, Real ",12330 ,18 
PMU-UD,Univariate ,Classification , ,5180 ,9 
Parkinson's Disease Classification,Multivariate ,Classification ,"Integer, Real ",756 ,754 
Electrical Grid Stability Simulated Data ,Multivariate ,"Classification, Regression ",Real ,10000 ,14 
Caesarian Section Classification Dataset,Univariate ,Classification ,Integer ,80 ,5 
BAUM-1,Time-Series ,Classification , ,1184 , 
BAUM-2,Time-Series ,Classification , ,1047 , 
Audit Data,Multivariate ,Classification ,Real ,777 ,18 
BuddyMove Data Set,"Multivariate, Text ","Classification, Clustering ",Real ,249 ,7 
Real estate valuation data set,Multivariate ,Regression ,"Integer, Real ",414 ,7 
Early biomarkers of Parkinson’s disease based on natural connected speech Data Set ,Multivariate ,Classification ,Real , , 
Somerville Happiness Survey, ,Classification ,Integer ,143 ,7 
2.4 GHZ Indoor Channel Measurements,Multivariate ,Classification ,Real ,7840 ,5 
EMG data for gestures,Time-Series ,Classification ,Real ,30000 ,6 
Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Real ,35717 ,4 
Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series ","Classification, Regression ","Integer, Real ",135 ,18 
Travel Reviews,"Multivariate, Text ","Classification, Clustering ",Real ,980 ,11 
Tarvel Review Ratings,"Multivariate, Text ","Classification, Clustering ",Real ,5456 ,25 
Rice Leaf Diseases,Multivariate ,Classification ,Integer ,120 , 
Gas sensor array temperature modulation,"Multivariate, Time-Series ","Classification, Regression ",Real ,4095000 ,20 
Facebook Live Sellers in Thailand,Multivariate ,Clustering ,Integer ,7051 ,12 
Parkinson Dataset with replicated acoustic features ,Multivariate ,Classification , ,240 ,46 
Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series ",Regression ,"Integer, Real ",48204 ,9 
Query Analytics Workloads Dataset,Multivariate ,"Regression, Clustering ",Real ,260000 ,8 
Wave Energy Converters,Multivariate ,Regression ,Real ,288000 ,49 
PPG-DaLiA,"Multivariate, Time-Series ",Regression ,Real ,8300000 ,11 
Alcohol QCM Sensor Dataset,Multivariate ,"Classification, Regression, Clustering ",Real ,125 ,8 
Divorce Predictors data set,"Multivariate, Univariate ",Classification ,Integer ,170 ,54 
Incident management process enriched event log,"Multivariate, Sequential ","Regression, Clustering ",Integer ,141712 ,36 
Opinion Corpus for Lebanese Arabic Reviews (OCLAR),Text ,Classification ,Integer ,3916 ,3916 
MEx,Time-Series ,"Classification, Clustering ",Real ,6262 ,710 
Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series ",Regression ,"Integer, Real ",420768 ,18 
Online Retail II,"Multivariate, Sequential, Time-Series, Text ","Classification, Regression, Clustering ","Integer, Real ",1067371 ,8 
Hepatitis C Virus (HCV) for Egyptian patients,Multivariate ,Classification ,"Integer, Real ",1385 ,29 
QSAR fish toxicity,Multivariate ,Regression ,Real ,908 ,7 
QSAR aquatic toxicity,Multivariate ,Regression ,Real ,546 ,9 
Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series ",Classification ,"Integer, Real ",13956534 ,37 
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset ,"Multivariate, Time-Series ",Classification ,Real ,15630426 ,6 
QSAR oral toxicity,Multivariate ,Classification , ,8992 ,1024 
QSAR androgen receptor,Multivariate ,Classification , ,1687 ,1024 
QSAR Bioconcentration classes dataset,Multivariate ,"Classification, Regression ", ,779 ,14 
QSAR fish bioconcentration factor (BCF),Multivariate ,Regression ,"Integer, Real ",1056 ,7 
A study of  Asian Religious and Biblical Texts,"Multivariate, Text ","Classification, Clustering ",Integer ,590 ,8265 
Real-time Election Results: Portugal 2019,"Multivariate, Time-Series, Text ",Regression ,"Integer, Real ",21643 ,29 
Bias correction of numerical prediction model temperature forecast,Multivariate ,Regression ,Real ,7750 ,25 
Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series ","Classification, Regression ",Real ,14057567 ,3 
Kitsune Network Attack Dataset,"Multivariate, Sequential, Time-Series ","Classification, Clustering, Causal-Discovery ",Real ,27170754 ,115 
